,job_tags
9436,['SolidWorks' 'AutoCAD' 'illustrator']
7289,['台北' 'photoshop' 'illustrator']
11274,[]
9431,['word' 'excel']
180,['Customer Success Manager' 'SaaS' '數據洞察分析']
10176,['業務主管' '通路開發' 'Business Development']
4645,['小巨蛋捷運站']
2413,['kotlin']
10363,[]
8890,['JavaScript' 'ReactNative' 'Git']
5874,[]
10735,['JavaScript' 'Web Development' 'front-end']
1840,[]
1659,['Electronics Industry']
1180,['Photoshop' 'Microsoft Office' 'Google Drive']
4457,['JAVA']
3211,[]
1604,[]
9860,[]
1811,['Word' 'Excel' 'PowerPoint']
5872,['行政' '行政專員']
1518,[]
4528,['C#' 'ASP.NET' 'O/R']
8157,[]
6623,['excel' 'Keynote' 'word']
5864,[]
6418,[]
7341,['Google Ad.Excel、Outlook、PowerPoint、Word、Adobe Photoshop、Illustrator']
7647,['PowerPoint' 'Excel' 'Google Drive']
6414,['word' 'powerpoint' 'draw.io']
4780,[]
1499,[]
9709,['FreeBSD' 'Linux' 'Perl']
10802,['影音剪輯' '影音企劃' '影音製作']
8999,['JavaScript' 'AngularJS' 'React.js']
5771,['會計核算和帳務處理' '會計或審計專業知識' '結帳作業與帳務處理']
9190,['ReactNative' 'JavaScript' 'IOS Development']
7215,['Word' 'PowerPoint' 'Excel']
4570,['PHP laravel' 'jQuery' 'JavaScript']
1088,['台灣台北']
6122,[]
11398,['Nuxt.js' 'RESTfulAPI' 'vue.js']
4012,['DynamoDB' 'MongoDB' 'PostgreSQL']
10232,['Front-End Development' 'Front End' 'React']
4339,[]
571,['生產技術' '製程工程師' '半導體設備']
8920,['javascript' 'CSS' 'HTML5']
6077,['SQL' 'Google Cloud Platform' 'Google Analytics']
8650,['RPG' 'AS/400']
9385,['台北' '數位廣告' '影音編導']
9214,[]
5015,['UI/UX Designer']
4980,[]
4041,[]
3814,['C++' 'Linux' 'MCU']
10104,['信義區' '台北' 'excel']
576,['excel' 'VBA' 'SQL']
9936,[]
5236,[]
10716,['jQuery' 'React' 'React.js']
3622,['台灣台北' 'DevOps Engineer']
2185,['台灣台北' 'Unreal Engine' 'C++']
9627,['110台灣台北市信義區' '行銷' '小編']
5641,['customer success engineer' 'data' 'software']
9011,['Vue' 'HTML/CSS' 'API串接']
1084,['figma']
10976,[]
11054,['shell script' 'ToolKit' 'WebUI']
3477,['MSSQL']
10018,[]
5916,[]
8254,['furniture' 'sales']
7015,['會員管理' '會員行銷' '會員經營']
675,['UI/UX Designer' 'Information Architecture' 'Customer Journey Mapping']
7741,['word']
6707,[]
8523,['word' 'excel' 'powerpoint']
3157,['Golang' 'Linux' 'GitLab']
3184,['PHP' 'Thinkphp5' 'OOP']
2998,['#Java']
2104,['photoshop' 'illustrator' 'AfterEffects']
9348,['word' 'powerpoint']
7807,[]
11138,['數位廣告' '廣告投放' '廣告行銷']
8323,['excel' 'word' 'powerpoint']
10025,['Communication' 'Microsoft Office']
7843,[]
2481,['Android' 'Git' 'Kotlin']
9292,[]
442,['Customer Service' 'Store Staff' 'operation']
3244,[]
4139,[]
8834,[]
2124,[]
7909,['Sales & Customer Service' 'Sales']
9974,['word' 'excel']
2359,[]
9285,['word' 'excel' 'powerpoint']
3124,[]
5087,[]
5917,['台灣' '台北' 'Sales Management']
1590,[]
1332,[]
11457,['Automation Testing' 'Selenium' 'Jmeter']
5901,['CakeResume 2023 Career Fair' 'Lead Development' 'Business Development']
6351,['Career in Taiwan' '文科生' 'Electronics Industry']
7890,['word' 'excel' 'powerpoint']
7983,['powerpoint' 'excel' 'word']
2951,['台灣' '信義區' '台北']
9474,['word' 'powerpoint' 'illustrator']
5296,['C#']
11053,['CI/CD' 'Scripts' 'Command Line Tools']
4858,['QA' 'Automation Testing' 'Python']
4019,['HTML5' 'CSS3' 'JavaScript']
9201,['會計師事務所工作經驗' '會計師事務所' '會計']
6818,['Google Analytics (分析) 個人認證資格' 'GA4' 'Google Data Studio']
8126,['Communication' 'word' 'Microsoft Office']
8494,['word' 'excel' 'powerpoint']
7093,['Communication' 'Google Drive' 'word']
9359,['word' 'excel' 'photoshop']
1174,['美編' '電商' '美編設計']
10453,['operation' 'Store Staff' 'Customer Service']
918,[]
3114,['Laravel' 'MySQL' 'Linux']
6267,[]
8763,['wireless' 'WiFi' 'Embedded Systems']
3496,['MSSQL' 'MCDBA']
5692,['C#' '.NET Core' '.NET MVC 4.0']
7649,['word' 'microsoft office' 'excel']
5704,['Word' 'PowerPoint' 'Excel']
441,['CakeResume 2023 Career Fair']
9293,['word' 'illustrator' 'photoshop']
5950,[]
3781,['Linux' 'Android' 'C']
5806,['行銷企劃' '行政']
1306,[]
